date,product_id,product_name,category,price,quantity,customer_id,region,marketing_campaign
2025-01-01,P001,プレミアムコーヒー,飲料,1200,5,C101,東京,冬季セール
2025-01-02,P002,オーガニックティー,飲料,980,3,C102,大阪,冬季セール
2025-01-03,P003,チョコレートクッキー,菓子,450,10,C103,福岡,冬季セール
2025-01-04,P001,プレミアムコーヒー,飲料,1200,2,C104,名古屋,冬季セール
2025-01-05,P004,抹茶ラテ,飲料,580,7,C105,札幌,冬季セール
2025-01-06,P005,フルーツケーキ,菓子,1500,1,C106,広島,冬季セール
2025-01-07,P006,ミネラルウォーター,飲料,200,20,C107,仙台,冬季セール
2025-01-08,P002,オーガニックティー,飲料,980,4,C108,京都,冬季セール
2025-01-09,P007,チーズケーキ,菓子,680,6,C109,神戸,冬季セール
2025-01-10,P008,フレンチトースト,パン,750,3,C110,横浜,冬季セール
2025-01-11,P001,プレミアムコーヒー,飲料,1200,8,C111,東京,SNSキャンペーン
2025-01-12,P009,クロワッサン,パン,320,15,C112,大阪,SNSキャンペーン
2025-01-13,P010,フルーツサンド,パン,580,5,C113,福岡,SNSキャンペーン
2025-01-14,P004,抹茶ラテ,飲料,580,9,C114,名古屋,SNSキャンペーン
2025-01-15,P011,アップルパイ,菓子,420,12,C115,札幌,SNSキャンペーン
2025-01-16,P002,オーガニックティー,飲料,980,6,C116,広島,SNSキャンペーン
2025-01-17,P001,プレミアムコーヒー,飲料,1200,10,C117,仙台,SNSキャンペーン
2025-01-18,P012,ベーグル,パン,280,8,C118,京都,SNSキャンペーン
2025-01-19,P013,ショートケーキ,菓子,580,4,C119,神戸,SNSキャンペーン
2025-01-20,P014,ソーダ,飲料,150,25,C120,横浜,SNSキャンペーン
2025-01-21,P001,プレミアムコーヒー,飲料,1200,7,C121,東京,会員限定
2025-01-22,P015,パニーニ,パン,650,3,C122,大阪,会員限定
2025-01-23,P004,抹茶ラテ,飲料,580,11,C123,福岡,会員限定
2025-01-24,P016,チョコレートムース,菓子,720,2,C124,名古屋,会員限定
2025-01-25,P017,紅茶,飲料,480,9,C125,札幌,会員限定
2025-01-26,P002,オーガニックティー,飲料,980,5,C126,広島,会員限定
2025-01-27,P018,メロンパン,パン,220,14,C127,仙台,会員限定
2025-01-28,P001,プレミアムコーヒー,飲料,1200,6,C128,京都,会員限定
2025-01-29,P019,ティラミス,菓子,680,3,C129,神戸,会員限定
2025-01-30,P020,フルーツジュース,飲料,350,18,C130,横浜,会員限定